city,year,crime,incidences,rate
Srinagar,2014,Total Dacoity,31,2.4
Srinagar,2014,Others,1,0.1
Surat,2014,Total Dacoity,34,0.7
Surat,2014,Others,14,0.3
Thiruvananthapuram,2014,Total Dacoity,1,0.1
Thiruvananthapuram,2014,Others,1,0.1
Thrissur,2014,Total Dacoity,8,0.4
Thrissur,2014,Others,5,0.3
Tiruchirapalli,2014,Total Dacoity,4,0.4
Tiruchirapalli,2014,Others,0,0
Vadodara,2014,Total Dacoity,14,0.8
Vadodara,2014,Others,10,0.6
Varanasi,2014,Total Dacoity,10,0.7
Varanasi,2014,Others,0,0
Vasai Virar,2014,Total Dacoity,56,4.6
Vasai Virar,2014,Others,12,1
Vijayawada,2014,Total Dacoity,16,1.1
Vijayawada,2014,Others,3,0.2
Vishakhapatnam,2014,Total Dacoity,0,0
Vishakhapatnam,2014,Others,4,0.2
Agra,2014,Criminal Trespass/Burglary (Section 457 & 458 IPC),149,8.5
Agra,2014,Criminal Trespass/Burglary Total,236,13.5
Ahmedabad,2014,Criminal Trespass/Burglary (Section 457 & 458 IPC),261,4.1
Ahmedabad,2014,Criminal Trespass/Burglary Total,BOO,7.9
Allahabad,2014,Criminal Trespass/Burglary (Section 457 & 458 IPC),83,6.8
Allahabad,2014,Criminal Trespass/Burglary Total,190,15.6
Amritsar,2014,Criminal Trespass/Burglary (Section 457 & 458 IPC),13,1.1
Amritsar,2014,Criminal Trespass/Burglary Total,127,10.7
Asansol,2014,Criminal Trespass/Burglary (Section 457 & 458 IPC),12,1
Asansol,2014,Criminal Trespass/Burglary Total,10,0.8
Aurangabad,2014,Criminal Trespass/Burglary (Section 457 & 458 IPC),204,17.2
Aurangabad,2014,Criminal Trespass/Burglary Total,267,22.5
Bengaluru,2014,Criminal Trespass/Burglary (Section 457 & 458 IPC),1067,12.6
Bengaluru,2014,Criminal Trespass/Burglary Total,1542,18.1
Bhopal,2014,Criminal Trespass/Burglary (Section 457 & 458 IPC),99,5.3
Bhopal,2014,Criminal Trespass/Burglary Total,841,44.7
Chandigarh City,2014,Criminal Trespass/Burglary (Section 457 & 458 IPC),61,5.9
Chandigarh City,2014,Criminal Trespass/Burglary Total,127,12.4
Chennai,2014,Criminal Trespass/Burglary (Section 457 & 458 IPC),72,0.8
Chennai,2014,Criminal Trespass/Burglary Total,368,4.2
Coimbatore,2014,Criminal Trespass/Burglary (Section 457 & 458 IPC),123,5.7
Coimbatore,2014,Criminal Trespass/Burglary Total,166,7.7
Delhi (City),2014,Criminal Trespass/Burglary (Section 457 & 458 IPC),5847,35.8
Delhi (City),2014,Criminal Trespass/Burglary Total,8839,54.2
Dhanbad,2014,Criminal Trespass/Burglary (Section 457 & 458 IPC),8,0.7
Dhanbad,2014,Criminal Trespass/Burglary Total,68,5.7
Durg-Bhilainagar,2014,Criminal Trespass/Burglary (Section 457 & 458 IPC),52,4.9
Durg-Bhilainagar,2014,Criminal Trespass/Burglary Total,318,29.9
Faridabad,2014,Criminal Trespass/Burglary (Section 457 & 458 IPC),40,2.8
Faridabad,2014,Criminal Trespass/Burglary Total,412,29.3
Ghaziabad,2014,Criminal Trespass/Burglary (Section 457 & 458 IPC),72,3.1
Ghaziabad,2014,Criminal Trespass/Burglary Total,122,5.2
Gwalior,2014,Criminal Trespass/Burglary (Section 457 & 458 IPC),74,6.7
Gwalior,2014,Criminal Trespass/Burglary Total,536,48.6
Flyderabad,2014,Criminal Trespass/Burglary (Section 457 & 458 IPC),58,0.7
Flyderabad,2014,Criminal Trespass/Burglary Total,754,9.7
Indore,2014,Criminal Trespass/Burglary (Section 457 & 458 IPC),283,13.1
Indore,2014,Criminal Trespass/Burglary Total,1388,64.1
Jabalpur,2014,Criminal Trespass/Burglary (Section 457 & 458 IPC),107,8.4
Jabalpur,2014,Criminal Trespass/Burglary Total,374,29.5
Jaipur,2014,Criminal Trespass/Burglary (Section 457 & 458 IPC),356,11.6
Jaipur,2014,Criminal Trespass/Burglary Total,1229,40
Jamshedpur,2014,Criminal Trespass/Burglary (Section 457 & 458 IPC),30,2.2
Jamshedpur,2014,Criminal Trespass/Burglary Total,IBB,11.6
Jodhpur,2014,Criminal Trespass/Burglary (Section 457 & 458 IPC),120,10.5
Jodhpur,2014,Criminal Trespass/Burglary Total,297,26.1
Kannur,2014,Criminal Trespass/Burglary (Section 457 & 458 IPC),42,2.6
Kannur,2014,Criminal Trespass/Burglary Total,67,4.1
Kanpur,2014,Criminal Trespass/Burglary (Section 457 & 458 IPC),96,3.3
Kanpur,2014,Criminal Trespass/Burglary Total,162,5.5
Kochi,2014,Criminal Trespass/Burglary (Section 457 & 458 IPC),17,0.8
Kochi,2014,Criminal Trespass/Burglary Total,157,7.4
Kolkata,2014,Criminal Trespass/Burglary (Section 457 & 458 IPC),33,0.2
Kolkata,2014,Criminal Trespass/Burglary Total,62,0.4
Kollam,2014,Criminal Trespass/Burglary (Section 457 & 458 IPC),63,5.7
Kollam,2014,Criminal Trespass/Burglary Total,95,8.6
Kota,2014,Criminal Trespass/Burglary (Section 457 & 458 IPC),27,2.7
Kota,2014,Criminal Trespass/Burglary Total,135,13.5
Kozhikode,2014,Criminal Trespass/Burglary (Section 457 & 458 IPC),52,2.6
Kozhikode,2014,Criminal Trespass/Burglary Total,183,9
Lucknow,2014,Criminal Trespass/Burglary (Section 457 & 458 IPC),72,2.5
Lucknow,2014,Criminal Trespass/Burglary Total,568,19.6
Ludhiana,2014,Criminal Trespass/Burglary (Section 457 & 458 IPC),23,1.4
Ludhiana,2014,Criminal Trespass/Burglary Total,259,16
Madurai,2014,Criminal Trespass/Burglary (Section 457 & 458 IPC),118,8.1
Madurai,2014,Criminal Trespass/Burglary Total,123,8.4
Malappuram,2014,Criminal Trespass/Burglary (Section 457 & 458 IPC),13,0.8
Malappuram,2014,Criminal Trespass/Burglary Total,46,2.7
Meerut,2014,Criminal Trespass/Burglary (Section 457 & 458 IPC),166,11.6
Meerut,2014,Criminal Trespass/Burglary Total,192,13.5
Mumbai,2014,Criminal Trespass/Burglary (Section 457 & 458 IPC),2094,11.4
Mumbai,2014,Criminal Trespass/Burglary Total,3055,16.6
Nagpur,2014,Criminal Trespass/Burglary (Section 457 & 458 IPC),BOB,20.2
Nagpur,2014,Criminal Trespass/Burglary Total,1074,43
Nasik,2014,Criminal Trespass/Burglary (Section 457 & 458 IPC),124,7.9
Nasik,2014,Criminal Trespass/Burglary Total,299,19.1
Patna,2014,Criminal Trespass/Burglary (Section 457 & 458 IPC),149,7.3
Patna,2014,Criminal Trespass/Burglary Total,568,27.7
Pune,2014,Criminal Trespass/Burglary (Section 457 & 458 IPC),873,17.3
Pune,2014,Criminal Trespass/Burglary Total,1362,27
Raipur,2014,Criminal Trespass/Burglary (Section 457 & 458 IPC),61,5.4
Raipur,2014,Criminal Trespass/Burglary Total,367,32.7
Rajkot,2014,Criminal Trespass/Burglary (Section 457 & 458 IPC),91,6.5
Rajkot,2014,Criminal Trespass/Burglary Total,176,12.7
Ranchi,2014,Criminal Trespass/Burglary (Section 457 & 458 IPC),61,5.4
Ranchi,2014,Criminal Trespass/Burglary Total,204,18.1
Srinagar,2014,Criminal Trespass/Burglary (Section 457 & 458 IPC),36,2.8
Srinagar,2014,Criminal Trespass/Burglary Total,238,18.7
Surat,2014,Criminal Trespass/Burglary (Section 457 & 458 IPC),30,0.7
Surat,2014,Criminal Trespass/Burglary Total,257,5.6
Thiruvananthapuram,2014,Criminal Trespass/Burglary (Section 457 & 458 IPC),59,3.5
Thiruvananthapuram,2014,Criminal Trespass/Burglary Total,147,8.7
Thrissur,2014,Criminal Trespass/Burglary (Section 457 & 458 IPC),34,1.8
Thrissur,2014,Criminal Trespass/Burglary Total,83,4.5
Tiruch irapalli,2014,Criminal Trespass/Burglary (Section 457 & 458 IPC),24,2.3
Tiruch irapalli,2014,Criminal Trespass/Burglary Total,41,4
Vadodara,2014,Criminal Trespass/Burglary (Section 457 & 458 IPC),117,6.4
Vadodara,2014,Criminal Trespass/Burglary Total,502,27.6
Varanasi,2014,Criminal Trespass/Burglary (Section 457 & 458 IPC),32,2.2
Varanasi,2014,Criminal Trespass/Burglary Total,81,5.6
Vasai Virar,2014,Criminal Trespass/Burglary (Section 457 & 458 IPC),178,14.6
Vasai Virar,2014,Criminal Trespass/Burglary Total,468,38.3
Vijayawada,2014,Criminal Trespass/Burglary (Section 457 & 458 IPC),48,3.2
Vijayawada,2014,Criminal Trespass/Burglary Total,345,23.1
Vishakhapatnam,2014,Criminal Trespass/Burglary (Section 457 & 458 IPC),46,2.7
Vishakhapatnam,2014,Criminal Trespass/Burglary Total,392,22.7
Agra,2014,Auto Theft,3047,174.5
Agra,2014,Other Theft,2466,141.2
Ahmedabad,2014,Auto Theft,2589,40.8
Ahmedabad,2014,Other Theft,1693,26.7
Allahabad,2014,Auto Theft,1647,135.3
Allahabad,2014,Other Theft,1325,108.9
Amritsar,2014,Auto Theft,324,27.4
Amritsar,2014,Other Theft,93,7.9
Asansol,2014,Auto Theft,607,48.8
Asansol,2014,Other Theft,278,22.4
Aurangabad,2014,Auto Theft,1419,119.3
Aurangabad,2014,Other Theft,706,59.4
Bengaluru,2014,Auto Theft,11455,134.8
Bengaluru,2014,Other Theft,5075,59.7
Bhopal,2014,Auto Theft,2706,143.7
Bhopal,2014,Other Theft,1765,93.7
Chandigarh City,2014,Auto Theft,1217,118.6
Chandigarh City,2014,Other Theft,791,77.1
Chennai,2014,Auto Theft,1520,17.5
Chennai,2014,Other Theft,252,2.9
Coimbatore,2014,Auto Theft,353,16.4
Coimbatore,2014,Other Theft,113,5.3
Delhi (City),2014,Auto Theft,71937,440.9
Delhi (City),2014,Other Theft,21321,130.7
Dhanbad,2014,Auto Theft,341,28.5
Dhanbad,2014,Other Theft,188,15.7
Durg-Bhilainagar,2014,Auto Theft,751,70.6
Durg-Bhilainagar,2014,Other Theft,365,34.3
Faridabad,2014,Auto Theft,2079,148
Faridabad,2014,Other Theft,1736,123.6
Ghaziabad,2014,Auto Theft,2539,107.6
Ghaziabad,2014,Other Theft,1998,84.7
Gwalior,2014,Auto Theft,1622,147.2
Gwalior,2014,Other Theft,1226,111.3
Flyderabad,2014,Auto Theft,4266,55.1
Flyderabad,2014,Other Theft,1396,18
Indore,2014,Auto Theft,5914,272.9
Indore,2014,Other Theft,4410,203.5
Jabalpur,2014,Auto Theft,713,56.2
Jabalpur,2014,Other Theft,496,39.1
Jaipur,2014,Auto Theft,7071,230.1
Jaipur,2014,Other Theft,5113,166.4
Jamshedpur,2014,Auto Theft,808,60.4
Jamshedpur,2014,Other Theft,412,30.8
Jodhpur,2014,Auto Theft,993,87.3
Jodhpur,2014,Other Theft,653,57.4
Kannur,2014,Auto Theft,47,2.9
Kannur,2014,Other Theft,23,1.4
Kanpur,2014,Auto Theft,1101,37.7
Kanpur,2014,Other Theft,854,29.2
Kochi,2014,Auto Theft,331,15.6
Kochi,2014,Other Theft,108,5.1
Kolkata,2014,Auto Theft,4579,32.4
Kolkata,2014,Other Theft,740,5.2
Kollam,2014,Auto Theft,143,12.9
Kollam,2014,Other Theft,65,5.9
Kota,2014,Auto Theft,890,88.9
Kota,2014,Other Theft,615,61.4
Kozhikode,2014,Auto Theft,282,13.9
Kozhikode,2014,Other Theft,165,8.1
Lucknow,2014,Auto Theft,2937,101.2
Lucknow,2014,Other Theft,2037,70.2
Ludhiana,2014,Auto Theft,603,37.4
Ludhiana,2014,Other Theft,209,12.9
Madurai,2014,Auto Theft,576,39.4
Madurai,2014,Other Theft,389,26.6
Malappuram,2014,Auto Theft,72,4.2
Malappuram,2014,Other Theft,31,1.8
Meerut,2014,Auto Theft,2715,190.5
Meerut,2014,Other Theft,2150,150.9
Mumbai,2014,Auto Theft,10101,54.9
Mumbai,2014,Other Theft,3598,19.5
Nagpur,2014,Auto Theft,2962,118.6
Nagpur,2014,Other Theft,1604,64.2
Nasik,2014,Auto Theft,1053,67.4
Nasik,2014,Other Theft,685,43.8
Patna,2014,Auto Theft,3653,178.5
Patna,2014,Other Theft,2058,100.5
Pune,2014,Auto Theft,4867,96.4
Pune,2014,Other Theft,2782,55.1
Raipur,2014,Auto Theft,1340,119.3
Raipur,2014,Other Theft,761,67.8
Rajkot,2014,Auto Theft,835,60
Rajkot,2014,Other Theft,671,48.2
Ranchi,2014,Auto Theft,1834,162.7
Ranchi,2014,Other Theft,1149,102
Srinagar,2014,Auto Theft,375,29.5
Srinagar,2014,Other Theft,240,18.9
Surat,2014,Auto Theft,1315,28.7
Surat,2014,Other Theft,886,19.3
Thiruvananthapuram,2014,Auto Theft,325,19.3
Thiruvananthapuram,2014,Other Theft,88,5.2
Thrissur,2014,Auto Theft,165,8.9
Thrissur,2014,Other Theft,57,3.1
Tiruch irapalli,2014,Auto Theft,307,30
Tiruch irapalli,2014,Other Theft,66,6.5
Vadodara,2014,Auto Theft,1242,68.4
Vadodara,2014,Other Theft,820,45.1
Varanasi,2014,Auto Theft,596,41.5
Varanasi,2014,Other Theft,420,29.3
Vasai Virar,2014,Auto Theft,790,64.7
Vasai Virar,2014,Other Theft,375,30.7
Vijayawada,2014,Auto Theft,2016,135.2
Vijayawada,2014,Other Theft,685,45.9
Vishakhapatnam,2014,Auto Theft,1358,78.5
Vishakhapatnam,2014,Other Theft,401,23.2
Agra,2014,Political,242,13.9
Agra,2014,Riots (Total),0,0
Ahmedabad,2014,Political,87,1.4
Ahmedabad,2014,Riots (Total),18,0.3
Allahabad,2014,Political,23,1.9
Allahabad,2014,Riots (Total),0,0
Amritsar,2014,Political,0,0
Amritsar,2014,Riots (Total),0,0
Asansol,2014,Political,181,14.6
Asansol,2014,Riots (Total),0,0
Aurangabad,2014,Political,134,11.3
Aurangabad,2014,Riots (Total),0,0
Bengaluru,2014,Political,388,4.6
Bengaluru,2014,Riots (Total),0,0
Bhopal,2014,Political,41,2.2
Bhopal,2014,Riots (Total),0,0
Chandigarh City,2014,Political,31,3
Chandigarh City,2014,Riots (Total),0,0
Chennai,2014,Political,118,1.4
Chennai,2014,Riots (Total),0,0
Coimbatore,2014,Political,25,1.2
Coimbatore,2014,Riots (Total),0,0
Delhi (City),2014,Political,144,0.9
Delhi (City),2014,Riots (Total),1,0
Dhanbad,2014,Political,57,4.8
Dhanbad,2014,Riots (Total),0,0
Durg-Bhilainagar,2014,Political,34,3.2
Durg-Bhilainagar,2014,Riots (Total),0,0
Faridabad,2014,Political,207,14.7
Faridabad,2014,Riots (Total),207,14.7
Ghaziabad,2014,Political,37,1.6
Ghaziabad,2014,Riots (Total),0,0
Gwalior,2014,Political,68,6.2
Gwalior,2014,Riots (Total),0,0
Flyderabad,2014,Political,57,0.7
Flyderabad,2014,Riots (Total),4,0.1
Indore,2014,Political,50,2.3
Indore,2014,Riots (Total),2,0.1
Jabalpur,2014,Political,43,3.4
Jabalpur,2014,Riots (Total),0,0
Jaipur,2014,Political,75,2.4
Jaipur,2014,Riots (Total),1,0
Jamshedpur,2014,Political,82,6.1
Jamshedpur,2014,Riots (Total),0,0
Jodhpur,2014,Political,3,0.3
Jodhpur,2014,Riots (Total),0,0
Kannur,2014,Political,227,13.8
Kannur,2014,Riots (Total),0,0
Kanpur,2014,Political,97,3.3
Kanpur,2014,Riots (Total),0,0
Kochi,2014,Political,57,2.7
Kochi,2014,Riots (Total),0,0
Kolkata,2014,Political,315,2.2
Kolkata,2014,Riots (Total),0,0
Kollam,2014,Political,301,27.1
Kollam,2014,Riots (Total),0,0
Kota,2014,Political,0,0
Kota,2014,Riots (Total),0,0
Kozhikode,2014,Political,220,10.8
Kozhikode,2014,Riots (Total),0,0
Lucknow,2014,Political,73,2.5
Lucknow,2014,Riots (Total),8,0.3
Ludhiana,2014,Political,0,0
Ludhiana,2014,Riots (Total),0,0
Madurai,2014,Political,23,1.6
Madurai,2014,Riots (Total),0,0
Malappuram,2014,Political,154,9.1
Malappuram,2014,Riots (Total),0,0
Meerut,2014,Political,161,11.3
Meerut,2014,Riots (Total),8,0.6
Mumbai,2014,Political,409,2.2
Mumbai,2014,Riots (Total),0,0
Nagpur,2014,Political,147,5.9
Nagpur,2014,Riots (Total),0,0
Nasik,2014,Political,64,4.1
Nasik,2014,Riots (Total),0,0
Patna,2014,Political,470,23
Patna,2014,Riots (Total),0,0
Pune,2014,Political,259,5.1
Pune,2014,Riots (Total),8,0.2
Raipur,2014,Political,45,4
Raipur,2014,Riots (Total),0,0
Rajkot,2014,Political,61,4.4
Rajkot,2014,Riots (Total),0,0
Ranchi,2014,Political,51,4.5
Ranchi,2014,Riots (Total),0,0
Srinagar,2014,Political,130,10.2
Srinagar,2014,Riots (Total),0,0
Surat,2014,Political,40,0.9
Surat,2014,Riots (Total),1,0
Thiruvananthapuram,2014,Political,226,13.4
Thiruvananthapuram,2014,Riots (Total),0,0
Thrissur,2014,Political,98,5.3
Thrissur,2014,Riots (Total),0,0
Tiruch irapalli,2014,Political,10,1
Tiruch irapalli,2014,Riots (Total),0,0
Vadodara,2014,Political,60,3.3
Vadodara,2014,Riots (Total),19,1
Varanasi,2014,Political,34,2.4
Varanasi,2014,Riots (Total),0,0
Vasai Virar,2014,Political,99,8.1
Vasai Virar,2014,Riots (Total),0,0
Vijayawada,2014,Political,2,0.1
Vijayawada,2014,Riots (Total),0,0
Vishakhapatnam,2014,Political,3,0.2
Vishakhapatnam,2014,Riots (Total),0,0
Agra,2014,SCs/STs VS Non-SCs/STs,0,0
Agra,2014,Other Caste conflict,0,0
Ahmedabad,2014,SCs/STs VS Non-SCs/STs,6,0.1
Ahmedabad,2014,Other Caste conflict,1,0
Allahabad,2014,SCs/STs VS Non-SCs/STs,0,0
Allahabad,2014,Other Caste conflict,0,0
Amritsar,2014,SCs/STs VS Non-SCs/STs,0,0
Amritsar,2014,Other Caste conflict,0,0
Asansol,2014,SCs/STs VS Non-SCs/STs,0,0
Asansol,2014,Other Caste conflict,0,0
Aurangabad,2014,SCs/STs VS Non-SCs/STs,0,0
Aurangabad,2014,Other Caste conflict,0,0
Bengaluru,2014,SCs/STs VS Non-SCs/STs,9,0.1
Bengaluru,2014,Other Caste conflict,0,0
Bhopal,2014,SCs/STs VS Non-SCs/STs,0,0
Bhopal,2014,Other Caste conflict,0,0
Chandigarh City,2014,SCs/STs VS Non-SCs/STs,0,0
Chandigarh City,2014,Other Caste conflict,0,0
Chennai,2014,SCs/STs VS Non-SCs/STs,0,0
Chennai,2014,Other Caste conflict,0,0
Coimbatore,2014,SCs/STs VS Non-SCs/STs,0,0
Coimbatore,2014,Other Caste conflict,0,0
Delhi (City),2014,SCs/STs VS Non-SCs/STs,16,0.1
Delhi (City),2014,Other Caste conflict,0,0
Dhanbad,2014,SCs/STs VS Non-SCs/STs,0,0
Dhanbad,2014,Other Caste conflict,0,0
Durg-Bhilainagar,2014,SCs/STs VS Non-SCs/STs,0,0
Durg-Bhilainagar,2014,Other Caste conflict,0,0
Faridabad,2014,SCs/STs VS Non-SCs/STs,0,0
Faridabad,2014,Other Caste conflict,0,0
Ghaziabad,2014,SCs/STs VS Non-SCs/STs,0,0
Ghaziabad,2014,Other Caste conflict,0,0
Gwalior,2014,SCs/STs VS Non-SCs/STs,0,0
Gwalior,2014,Other Caste conflict,0,0
Flyderabad,2014,SCs/STs VS Non-SCs/STs,11,0.1
Flyderabad,2014,Other Caste conflict,2,0
Indore,2014,SCs/STs VS Non-SCs/STs,0,0
Indore,2014,Other Caste conflict,0,0
Jabalpur,2014,SCs/STs VS Non-SCs/STs,0,0
Jabalpur,2014,Other Caste conflict,0,0
Jaipur,2014,SCs/STs VS Non-SCs/STs,0,0
Jaipur,2014,Other Caste conflict,0,0
Jamshedpur,2014,SCs/STs VS Non-SCs/STs,0,0
Jamshedpur,2014,Other Caste conflict,0,0
Jodhpur,2014,SCs/STs VS Non-SCs/STs,0,0
Jodhpur,2014,Other Caste conflict,0,0
Kannur,2014,SCs/STs VS Non-SCs/STs,0,0
Kannur,2014,Other Caste conflict,0,0
Kanpur,2014,SCs/STs VS Non-SCs/STs,0,0
Kanpur,2014,Other Caste conflict,0,0
Kochi,2014,SCs/STs VS Non-SCs/STs,0,0
Kochi,2014,Other Caste conflict,0,0
Kolkata,2014,SCs/STs VS Non-SCs/STs,0,0
Kolkata,2014,Other Caste conflict,0,0
Kollam,2014,SCs/STs VS Non-SCs/STs,0,0
Kollam,2014,Other Caste conflict,0,0
Kota,2014,SCs/STs VS Non-SCs/STs,0,0
Kota,2014,Other Caste conflict,0,0
Kozhikode,2014,SCs/STs VS Non-SCs/STs,0,0
Kozhikode,2014,Other Caste conflict,0,0
Lucknow,2014,SCs/STs VS Non-SCs/STs,0,0
Lucknow,2014,Other Caste conflict,0,0
Ludhiana,2014,SCs/STs VS Non-SCs/STs,0,0
Ludhiana,2014,Other Caste conflict,0,0
Madurai,2014,SCs/STs VS Non-SCs/STs,0,0
Madurai,2014,Other Caste conflict,0,0
Malappuram,2014,SCs/STs VS Non-SCs/STs,0,0
Malappuram,2014,Other Caste conflict,0,0
Meerut,2014,SCs/STs VS Non-SCs/STs,0,0
Meerut,2014,Other Caste conflict,0,0
Mumbai,2014,SCs/STs VS Non-SCs/STs,2,0
Mumbai,2014,Other Caste conflict,2,0
Nagpur,2014,SCs/STs VS Non-SCs/STs,0,0
Nagpur,2014,Other Caste conflict,0,0
Nasik,2014,SCs/STs VS Non-SCs/STs,0,0
Nasik,2014,Other Caste conflict,0,0
Patna,2014,SCs/STs VS Non-SCs/STs,0,0
Patna,2014,Other Caste conflict,0,0
Pune,2014,SCs/STs VS Non-SCs/STs,0,0
Pune,2014,Other Caste conflict,0,0
Raipur,2014,SCs/STs VS Non-SCs/STs,0,0
Raipur,2014,Other Caste conflict,0,0
Rajkot,2014,SCs/STs VS Non-SCs/STs,0,0
Rajkot,2014,Other Caste conflict,0,0
Ranchi,2014,SCs/STs VS Non-SCs/STs,0,0
Ranchi,2014,Other Caste conflict,0,0
Srinagar,2014,SCs/STs VS Non-SCs/STs,0,0
Srinagar,2014,Other Caste conflict,0,0
Surat,2014,SCs/STs VS Non-SCs/STs,7,0.2
Surat,2014,Other Caste conflict,0,0
Thiruvananthapuram,2014,SCs/STs VS Non-SCs/STs,0,0
Thiruvananthapuram,2014,Other Caste conflict,0,0
Thrissur,2014,SCs/STs VS Non-SCs/STs,0,0
Thrissur,2014,Other Caste conflict,0,0
Tiruch irapalli,2014,SCs/STs VS Non-SCs/STs,0,0
Tiruch irapalli,2014,Other Caste conflict,0,0
Vadodara,2014,SCs/STs VS Non-SCs/STs,0,0
Vadodara,2014,Other Caste conflict,0,0
Varanasi,2014,SCs/STs VS Non-SCs/STs,0,0
Varanasi,2014,Other Caste conflict,0,0
Vasai Virar,2014,SCs/STs VS Non-SCs/STs,0,0
Vasai Virar,2014,Other Caste conflict,0,0
Vijayawada,2014,SCs/STs VS Non-SCs/STs,0,0
Vijayawada,2014,Other Caste conflict,0,0
Vishakhapatnam,2014,SCs/STs VS Non-SCs/STs,0,0
Vishakhapatnam,2014,Other Caste conflict,0,0
Agra,2014,Sectarian,0,0
Agra,2014,Agrarian,0,0
Ahmedabad,2014,Sectarian,0,0
Ahmedabad,2014,Agrarian,0,0
Allahabad,2014,Sectarian,0,0
Allahabad,2014,Agrarian,2,0.2
Amritsar,2014,Sectarian,0,0
Amritsar,2014,Agrarian,0,0
Asansol,2014,Sectarian,0,0
Asansol,2014,Agrarian,0,0
Aurangabad,2014,Sectarian,0,0
Aurangabad,2014,Agrarian,0,0
Bengaluru,2014,Sectarian,0,0
Bengaluru,2014,Agrarian,3,0
Bhopal,2014,Sectarian,0,0
Bhopal,2014,Agrarian,0,0
Chandigarh City,2014,Sectarian,0,0
Chandigarh City,2014,Agrarian,6,0.6
Chennai,2014,Sectarian,0,0
Chennai,2014,Agrarian,0,0
Coimbatore,2014,Sectarian,0,0
Coimbatore,2014,Agrarian,0,0
Delhi (City),2014,Sectarian,0,0
Delhi (City),2014,Agrarian,3,0
Dhanbad,2014,Sectarian,0,0
Dhanbad,2014,Agrarian,0,0
Durg-Bhilainagar,2014,Sectarian,0,0
Durg-Bhilainagar,2014,Agrarian,0,0
Faridabad,2014,Sectarian,0,0
Faridabad,2014,Agrarian,0,0
Ghaziabad,2014,Sectarian,0,0
Ghaziabad,2014,Agrarian,0,0
Gwalior,2014,Sectarian,0,0
Gwalior,2014,Agrarian,0,0
Flyderabad,2014,Sectarian,0,0
Flyderabad,2014,Agrarian,13,0.2
Indore,2014,Sectarian,0,0
Indore,2014,Agrarian,0,0
Jabalpur,2014,Sectarian,0,0
Jabalpur,2014,Agrarian,0,0
Jaipur,2014,Sectarian,6,0.2
Jaipur,2014,Agrarian,2,0.1
Jamshedpur,2014,Sectarian,0,0
Jamshedpur,2014,Agrarian,0,0
Jodhpur,2014,Sectarian,0,0
Jodhpur,2014,Agrarian,0,0
Kannur,2014,Sectarian,0,0
Kannur,2014,Agrarian,7,0.4
Kanpur,2014,Sectarian,0,0
Kanpur,2014,Agrarian,0,0
Kochi,2014,Sectarian,0,0
Kochi,2014,Agrarian,0,0
Kolkata,2014,Sectarian,0,0
Kolkata,2014,Agrarian,0,0
Kollam,2014,Sectarian,0,0
Kollam,2014,Agrarian,2,0.2
Kota,2014,Sectarian,0,0
Kota,2014,Agrarian,0,0
Kozhikode,2014,Sectarian,0,0
Kozhikode,2014,Agrarian,14,0.7
Lucknow,2014,Sectarian,0,0
Lucknow,2014,Agrarian,0,0
Ludhiana,2014,Sectarian,0,0
Ludhiana,2014,Agrarian,0,0
Madurai,2014,Sectarian,0,0
Madurai,2014,Agrarian,0,0
Malappuram,2014,Sectarian,0,0
Malappuram,2014,Agrarian,0,0
Meerut,2014,Sectarian,0,0
Meerut,2014,Agrarian,0,0
Mumbai,2014,Sectarian,0,0
Mumbai,2014,Agrarian,0,0
Nagpur,2014,Sectarian,0,0
Nagpur,2014,Agrarian,0,0
Nasik,2014,Sectarian,0,0
Nasik,2014,Agrarian,0,0
Patna,2014,Sectarian,0,0
Patna,2014,Agrarian,0,0
Pune,2014,Sectarian,0,0
Pune,2014,Agrarian,0,0
Raipur,2014,Sectarian,0,0
Raipur,2014,Agrarian,0,0
Rajkot,2014,Sectarian,0,0
Rajkot,2014,Agrarian,0,0
Ranchi,2014,Sectarian,0,0
Ranchi,2014,Agrarian,0,0
Srinagar,2014,Sectarian,0,0
Srinagar,2014,Agrarian,0,0
Surat,2014,Sectarian,2,0
Surat,2014,Agrarian,0,0
Thiruvananthapuram,2014,Sectarian,0,0
Thiruvananthapuram,2014,Agrarian,0,0
Thrissur,2014,Sectarian,0,0
Thrissur,2014,Agrarian,21,1.1
Tiruch irapalli,2014,Sectarian,0,0
Tiruch irapalli,2014,Agrarian,0,0
Vadodara,2014,Sectarian,0,0
Vadodara,2014,Agrarian,0,0
Varanasi,2014,Sectarian,0,0
Varanasi,2014,Agrarian,0,0
Vasai Virar,2014,Sectarian,2,0.2
Vasai Virar,2014,Agrarian,0,0
Vijayawada,2014,Sectarian,0,0
Vijayawada,2014,Agrarian,0,0
Vishakhapatnam,2014,Sectarian,0,0
Vishakhapatnam,2014,Agrarian,0,0
Agra,2014,Cheating,242,13.9
Agra,2014,Riots Others (excluding previous columns),73,4.2
Ahmedabad,2014,Cheating,59,0.9
Ahmedabad,2014,Riots Others (excluding previous columns),169,2.7
Allahabad,2014,Cheating,21,1.7
Allahabad,2014,Riots Others (excluding previous columns),59,4.8
Amritsar,2014,Cheating,0,0
Amritsar,2014,Riots Others (excluding previous columns),24,2
Asansol,2014,Cheating,181,14.6
Asansol,2014,Riots Others (excluding previous columns),98,7.9
Aurangabad,2014,Cheating,134,11.3
Aurangabad,2014,Riots Others (excluding previous columns),IB,1.3
